,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K11987,0,0,0,1,1,0,0,0,0,0
K12040,0,0,0,0,0,2,0,0,0,0
K12053,0,0,1,0,0,1,0,0,0,0
K12055,0,0,0,0,0,2,0,0,0,0
K12077,0,0,0,0,0,0,2,0,0,0
K12114,0,0,0,0,0,0,2,0,0,0
K12127,0,0,0,0,0,1,0,0,0,1
K12152,0,0,1,0,0,0,0,0,0,1
K12160,0,0,0,0,0,0,2,0,0,0
K12177,2,0,0,0,0,0,0,0,0,0
K12178,0,0,0,0,0,2,0,0,0,0
K12183,0,0,0,0,0,1,0,1,0,0
K12188,0,0,1,0,0,0,0,0,0,1
K12200,0,0,0,1,0,0,0,0,0,1
K12217,0,0,0,2,0,0,0,0,0,0
K12226,0,0,2,0,0,0,0,0,0,0
K12236,0,0,0,0,0,0,2,0,0,0
K12239,0,0,0,0,0,0,2,0,0,0
K12254,2,0,0,0,0,0,0,0,0,0
K12264,2,0,0,0,0,0,0,0,0,0
K12275,0,0,0,0,0,1,0,1,0,0
K12278,0,0,2,0,0,0,0,0,0,0
K12280,2,0,0,0,0,0,0,0,0,0
K12307,0,0,0,0,0,0,2,0,0,0
K12347,2,0,0,0,0,0,0,0,0,0
K12350,0,0,0,0,0,0,0,2,0,0
K12384,0,0,0,1,0,0,0,1,0,0
K12398,0,0,0,1,0,1,0,0,0,0
K12431,0,0,1,1,0,0,0,0,0,0
K12433,0,0,1,1,0,0,0,0,0,0
K12440,0,0,0,1,0,0,0,1,0,0
K12441,0,0,0,1,0,0,0,1,0,0
K12447,0,0,0,1,1,0,0,0,0,0
K12451,0,0,0,0,0,0,2,0,0,0
K12532,2,0,0,0,0,0,0,0,0,0
K12533,0,0,1,1,0,0,0,0,0,0
K12536,0,0,1,1,0,0,0,0,0,0
K12541,0,0,2,0,0,0,0,0,0,0
K12553,0,0,1,0,0,0,0,1,0,0
K12580,0,0,0,0,0,2,0,0,0,0
K12610,0,0,0,0,0,2,0,0,0,0
K12611,0,0,0,0,0,2,0,0,0,0
K12623,0,1,0,0,0,1,0,0,0,0
K12626,0,0,0,0,0,2,0,0,0,0
K12659,0,1,0,0,0,1,0,0,0,0
K12661,0,0,0,1,1,0,0,0,0,0
K12669,0,0,0,1,0,0,0,1,0,0
K12735,0,1,0,0,0,0,0,0,1,0
K12737,0,0,0,0,0,2,0,0,0,0
K12743,2,0,0,0,0,0,0,0,0,0
K12761,0,0,0,1,0,0,0,1,0,0
K12765,2,0,0,0,0,0,0,0,0,0
K12792,0,0,0,0,0,0,2,0,0,0
K12820,0,0,0,0,0,1,0,1,0,0
K12827,0,0,0,0,2,0,0,0,0,0
K12845,0,0,0,0,0,0,0,2,0,0
K12858,0,0,0,0,0,2,0,0,0,0
K12869,0,0,0,0,1,1,0,0,0,0
K12873,0,0,0,0,0,0,2,0,0,0
K12874,0,0,0,0,0,1,0,0,0,1
K12881,0,0,0,0,0,1,0,1,0,0
K12882,0,0,0,0,0,0,2,0,0,0
K12885,2,0,0,0,0,0,0,0,0,0
K12897,2,0,0,0,0,0,0,0,0,0
K12910,0,0,0,0,0,0,0,1,1,0
K12915,0,0,0,0,0,0,2,0,0,0
K12974,0,0,1,1,0,0,0,0,0,0
K12976,2,0,0,0,0,0,0,0,0,0
K12992,0,0,1,0,1,0,0,0,0,0
K13012,0,0,0,0,0,2,0,0,0,0
K13039,0,0,0,0,1,0,0,1,0,0
K13069,0,0,0,1,0,1,0,0,0,0
K13076,2,0,0,0,0,0,0,0,0,0
K13095,0,0,0,1,0,0,0,0,0,1
K13119,0,0,1,0,0,1,0,0,0,0
K13124,0,0,0,0,0,0,2,0,0,0
K13143,0,0,0,0,0,0,2,0,0,0
K13167,0,0,0,0,0,0,2,0,0,0
K13178,0,0,0,0,0,2,0,0,0,0
K13210,0,0,0,1,0,0,0,1,0,0
K13238,0,0,2,0,0,0,0,0,0,0
K13283,2,0,0,0,0,0,0,0,0,0
K13308,0,0,0,0,1,0,0,0,1,0
K13312,0,0,0,0,0,0,0,0,1,1
K13337,2,0,0,0,0,0,0,0,0,0
K13339,0,0,0,0,1,0,0,0,1,0
K13408,2,0,0,0,0,0,0,0,0,0
K13462,0,0,0,0,0,1,0,0,1,0
K13472,0,0,0,0,0,0,2,0,0,0
K13479,0,0,2,0,0,0,0,0,0,0
K13489,0,0,0,0,0,0,0,1,1,0
K13499,0,0,0,0,0,0,2,0,0,0
K13500,0,0,0,0,0,0,0,2,0,0
K13504,0,0,0,0,0,0,2,0,0,0
K13505,0,0,0,0,0,0,2,0,0,0
K13527,0,0,0,1,0,1,0,0,0,0
K13537,0,0,0,0,2,0,0,0,0,0
K13538,0,0,0,0,2,0,0,0,0,0
K13541,0,0,1,0,0,0,0,0,0,1
K13571,2,0,0,0,0,0,0,0,0,0
K13583,0,0,0,1,1,0,0,0,0,0
K13645,0,0,0,0,0,0,2,0,0,0
K13646,0,0,0,0,0,0,2,0,0,0
K13647,0,0,0,0,0,0,2,0,0,0
K13663,2,0,0,0,0,0,0,0,0,0
K13664,2,0,0,0,0,0,0,0,0,0
K13684,0,0,0,0,0,1,0,0,1,0
K13720,0,0,0,1,0,0,0,1,0,0
K13750,0,0,0,2,0,0,0,0,0,0
K13754,0,0,0,1,0,0,0,1,0,0
K13765,0,0,2,0,0,0,0,0,0,0
K13779,0,0,0,0,0,2,0,0,0,0
K13796,2,0,0,0,0,0,0,0,0,0
K13800,0,0,0,0,0,0,0,1,1,0
K13818,0,0,1,1,0,0,0,0,0,0
K13820,0,0,0,0,0,0,0,0,1,1
K13830,0,0,0,0,0,0,2,0,0,0
K13837,0,0,0,0,0,2,0,0,0,0
K13855,0,0,0,0,0,0,0,1,1,0
K13857,0,0,0,0,0,0,0,0,1,1
K13858,0,0,0,0,0,0,0,0,1,1
K13863,0,0,0,0,0,0,2,0,0,0
K13864,0,0,0,0,0,0,2,0,0,0
K13865,0,0,0,0,0,0,2,0,0,0
K13866,0,0,0,0,0,0,2,0,0,0
K13871,0,0,0,0,0,0,2,0,0,0
K13922,0,0,0,1,0,0,0,1,0,0
K13926,0,0,2,0,0,0,0,0,0,0
K13982,0,0,0,0,0,2,0,0,0,0
K13996,0,0,0,0,0,2,0,0,0,0
K14000,0,0,0,0,0,2,0,0,0,0
K14077,0,0,0,0,0,0,2,0,0,0
K14082,0,0,0,0,0,0,0,0,0,2
K14110,0,0,0,0,0,0,2,0,0,0
K14159,0,0,1,0,0,0,0,1,0,0
K14205,0,0,1,0,0,1,0,0,0,0
K14210,0,0,0,1,0,0,0,0,1,0
K14213,0,0,0,0,0,2,0,0,0,0
K14250,0,0,1,0,0,0,0,1,0,0
K14257,0,0,0,2,0,0,0,0,0,0
K14282,0,0,2,0,0,0,0,0,0,0
K14293,0,0,0,0,1,0,0,0,0,1
K14342,0,0,0,2,0,0,0,0,0,0
K14347,0,0,2,0,0,0,0,0,0,0
K14369,2,0,0,0,0,0,0,0,0,0
K14392,0,0,0,0,0,0,0,2,0,0
K14400,2,0,0,0,0,0,0,0,0,0
K14444,0,0,0,0,0,0,2,0,0,0
K14470,0,0,0,0,2,0,0,0,0,0
K14520,0,0,0,1,1,0,0,0,0,0
K14558,0,0,0,0,0,2,0,0,0,0
K14559,0,0,0,0,0,0,0,2,0,0
K14568,0,0,0,0,0,2,0,0,0,0
K14572,0,0,0,0,0,0,0,2,0,0
K14607,0,0,0,0,0,2,0,0,0,0
K14621,0,0,0,0,0,0,0,0,2,0
K14634,2,0,0,0,0,0,0,0,0,0
K14667,2,0,0,0,0,0,0,0,0,0
K14674,0,0,0,1,0,0,0,0,1,0
K14689,0,0,0,0,0,1,0,1,0,0
K14723,0,0,0,0,0,2,0,0,0,0
K14727,0,0,0,0,0,0,2,0,0,0
K14731,0,0,0,0,0,0,2,0,0,0
K14733,2,0,0,0,0,0,0,0,0,0
K14747,2,0,0,0,0,0,0,0,0,0
K14750,2,0,0,0,0,0,0,0,0,0
K14756,2,0,0,0,0,0,0,0,0,0
K14772,0,0,0,0,0,0,0,2,0,0
K14786,0,0,0,0,0,2,0,0,0,0
K14787,0,0,0,0,1,1,0,0,0,0
K14823,0,0,0,0,0,0,2,0,0,0
K14833,0,0,0,0,0,0,2,0,0,0
K14837,0,0,0,1,0,0,0,0,0,1
K14838,0,0,0,1,0,0,0,1,0,0
K14842,0,0,0,0,0,0,0,0,0,2
K14864,0,0,0,0,0,0,2,0,0,0
K14937,0,0,0,0,0,0,2,0,0,0
K14951,0,0,0,0,0,1,0,0,0,1
K14954,0,0,0,0,2,0,0,0,0,0
K14962,0,0,0,0,0,2,0,0,0,0
K14985,0,0,0,0,0,0,2,0,0,0
K14996,0,0,0,0,0,2,0,0,0,0
K14997,0,0,0,0,0,0,2,0,0,0
K15004,0,0,0,0,0,2,0,0,0,0
K15011,0,0,2,0,0,0,0,0,0,0
K15024,0,0,0,1,0,0,0,0,1,0
K15029,0,0,0,0,0,0,2,0,0,0
K15040,0,0,0,2,0,0,0,0,0,0
K15042,0,0,0,0,0,0,2,0,0,0
K15063,2,0,0,0,0,0,0,0,0,0
K15067,0,0,0,0,0,0,2,0,0,0
K15081,0,0,0,0,0,0,2,0,0,0
K15133,0,0,2,0,0,0,0,0,0,0
K15144,0,0,0,0,0,2,0,0,0,0
K15156,2,0,0,0,0,0,0,0,0,0
K15158,0,0,0,0,0,1,0,0,0,1
K15174,0,0,0,0,0,0,2,0,0,0
K15178,0,0,0,0,1,1,0,0,0,0
K15196,0,0,0,0,0,2,0,0,0,0
K15237,2,0,0,0,0,0,0,0,0,0
K15259,2,0,0,0,0,0,0,0,0,0
K15263,0,0,0,1,0,1,0,0,0,0
K15272,0,0,0,0,0,0,0,1,1,0
K15275,0,0,0,0,0,0,2,0,0,0
K15281,0,0,0,0,0,0,2,0,0,0
K15283,0,0,0,0,0,0,0,0,0,2
K15296,0,0,0,0,0,1,0,0,1,0
K15312,0,0,0,0,0,2,0,0,0,0
K15338,0,0,0,0,0,2,0,0,0,0
K15352,2,0,0,0,0,0,0,0,0,0
K15361,0,0,0,0,0,0,0,2,0,0
K15410,0,0,0,1,0,1,0,0,0,0
K15414,0,0,0,0,0,0,2,0,0,0
K15424,0,0,1,1,0,0,0,0,0,0
K15449,2,0,0,0,0,0,0,0,0,0
K15460,0,0,0,0,0,1,0,0,1,0
K15461,0,0,0,1,0,1,0,0,0,0
K15468,2,0,0,0,0,0,0,0,0,0
K15520,0,0,0,0,0,0,2,0,0,0
K15525,2,0,0,0,0,0,0,0,0,0
K15545,0,0,0,1,1,0,0,0,0,0
K15555,0,0,1,0,1,0,0,0,0,0
K15558,0,0,1,0,1,0,0,0,0,0
K15600,0,0,0,0,0,0,2,0,0,0
K15620,0,0,0,0,0,0,2,0,0,0
K15655,0,0,0,1,0,1,0,0,0,0
K15661,0,0,0,0,1,0,0,0,0,1
K15682,0,0,0,0,0,0,2,0,0,0
K15700,0,0,0,0,0,0,2,0,0,0
K15734,0,0,0,0,0,1,0,1,0,0
K15777,0,0,1,0,0,0,0,1,0,0
K15780,0,0,1,1,0,0,0,0,0,0
K15785,0,0,1,0,1,0,0,0,0,0
K15832,0,0,0,0,0,0,0,0,2,0
K15870,0,0,0,0,0,0,0,2,0,0
K15896,0,0,1,1,0,0,0,0,0,0
K15899,0,0,0,0,0,2,0,0,0,0
K15918,2,0,0,0,0,0,0,0,0,0
K16014,0,0,2,0,0,0,0,0,0,0
K16017,0,0,2,0,0,0,0,0,0,0
K16024,0,0,0,0,0,0,2,0,0,0
K16063,0,0,0,1,0,0,0,1,0,0
K16064,0,0,0,1,0,0,0,1,0,0
K16065,0,0,0,1,0,0,0,1,0,0
K16080,0,0,2,0,0,0,0,0,0,0
K16119,0,0,0,1,0,1,0,0,0,0
K16120,0,0,0,1,0,1,0,0,0,0
K16124,2,0,0,0,0,0,0,0,0,0
K16129,0,0,0,0,1,0,0,0,0,1
K16130,0,0,0,0,0,0,2,0,0,0
K16134,2,0,0,0,0,0,0,0,0,0
K16164,2,0,0,0,0,0,0,0,0,0
K16229,0,0,1,0,1,0,0,0,0,0
K16233,0,0,0,0,1,0,0,0,0,1
K16237,0,0,0,0,0,2,0,0,0,0
K16239,0,0,1,1,0,0,0,0,0,0
K16260,0,0,1,1,0,0,0,0,0,0
K16261,0,0,0,0,0,0,2,0,0,0
K16263,0,0,0,0,0,2,0,0,0,0
K16299,0,0,1,1,0,0,0,0,0,0
K16308,0,0,0,0,0,0,2,0,0,0
K16319,2,0,0,0,0,0,0,0,0,0
K16327,0,0,0,0,0,0,2,0,0,0
K16351,0,0,0,0,0,2,0,0,0,0
K16438,0,0,0,0,0,0,0,0,1,1
K16488,0,0,0,0,0,2,0,0,0,0
K16559,0,0,0,0,0,0,2,0,0,0
K16569,0,0,0,0,0,2,0,0,0,0
K16676,0,0,0,0,0,0,2,0,0,0
K16677,0,0,0,0,0,1,0,0,0,1
K16680,0,0,0,0,0,0,2,0,0,0
K16684,0,0,0,0,0,0,2,0,0,0
K16685,0,0,0,0,0,2,0,0,0,0
K16772,0,0,0,0,0,2,0,0,0,0
K16783,0,0,1,0,0,0,0,1,0,0
K16784,0,0,2,0,0,0,0,0,0,0
K16803,2,0,0,0,0,0,0,0,0,0
K16832,0,0,0,0,0,0,2,0,0,0
K16841,2,0,0,0,0,0,0,0,0,0
K16860,0,0,0,0,0,0,2,0,0,0
K16873,2,0,0,0,0,0,0,0,0,0
K16874,0,0,0,0,2,0,0,0,0,0
K16877,0,0,1,1,0,0,0,0,0,0
K16895,0,0,2,0,0,0,0,0,0,0
K16896,0,0,0,0,0,0,2,0,0,0
K16918,0,0,0,0,0,1,0,1,0,0
K16952,0,0,0,0,0,0,2,0,0,0
K16957,0,0,2,0,0,0,0,0,0,0
K16958,0,0,2,0,0,0,0,0,0,0
K16959,0,0,2,0,0,0,0,0,0,0
K16960,0,0,0,0,0,0,2,0,0,0
K17069,2,0,0,0,0,0,0,0,0,0
K17104,0,0,0,0,0,0,0,2,0,0
K17207,0,0,0,0,0,0,2,0,0,0
K17223,0,0,0,2,0,0,0,0,0,0
K17236,2,0,0,0,0,0,0,0,0,0
K17242,0,1,0,1,0,0,0,0,0,0
K17279,0,0,0,0,0,2,0,0,0,0
K17291,0,0,2,0,0,0,0,0,0,0
K17311,0,0,0,0,0,0,0,0,1,1
K17331,0,0,0,0,0,2,0,0,0,0
K17338,0,0,0,0,0,2,0,0,0,0
K17339,0,0,0,1,0,0,0,0,1,0
K17350,2,0,0,0,0,0,0,0,0,0
K17500,0,0,0,0,0,1,0,0,1,0
K17506,0,0,0,0,0,2,0,0,0,0
K17508,0,0,0,0,2,0,0,0,0,0
K17509,0,0,0,0,0,0,2,0,0,0
K17531,0,0,0,0,0,2,0,0,0,0
K17535,0,0,1,1,0,0,0,0,0,0
K17562,0,0,0,0,0,2,0,0,0,0
K17576,0,0,0,0,0,1,0,0,0,1
K17583,0,0,0,0,0,0,0,1,1,0
K17586,0,0,0,0,0,1,0,1,0,0
K17600,0,0,0,0,0,0,2,0,0,0
K17610,0,0,0,1,0,0,0,1,0,0
K17633,0,0,0,1,0,0,0,1,0,0
K17640,0,0,0,0,0,0,0,1,0,1
K17644,0,0,0,0,0,0,2,0,0,0
K17662,0,0,0,1,1,0,0,0,0,0
K17683,0,0,0,0,0,0,2,0,0,0
K17684,0,0,0,0,0,0,2,0,0,0
K17685,0,0,0,0,0,0,2,0,0,0
K17709,0,0,0,0,0,0,2,0,0,0
K17712,0,0,0,0,0,0,2,0,0,0
K17718,0,0,0,0,0,0,2,0,0,0
K17719,0,0,0,0,0,0,2,0,0,0
K17720,0,0,0,0,0,0,2,0,0,0
K17721,0,0,0,0,0,0,2,0,0,0
K17736,2,0,0,0,0,0,0,0,0,0
K17748,2,0,0,0,0,0,0,0,0,0
K17749,0,0,0,0,0,0,2,0,0,0
K17756,0,0,0,0,1,0,0,1,0,0
K17765,2,0,0,0,0,0,0,0,0,0
K17804,0,0,0,0,0,0,2,0,0,0
K17819,0,0,0,0,0,2,0,0,0,0
K17835,0,0,0,0,0,0,0,0,2,0
K17852,0,0,0,0,0,0,2,0,0,0
K17853,0,0,0,0,0,0,2,0,0,0
K17854,0,0,0,0,0,0,2,0,0,0
K17855,0,0,0,0,0,0,2,0,0,0
K17856,0,0,0,0,0,0,2,0,0,0
K17857,0,0,0,0,0,0,2,0,0,0
K17858,0,0,0,0,0,0,2,0,0,0
K17859,0,0,0,0,0,0,2,0,0,0
K17861,0,0,0,0,0,1,0,1,0,0
K17867,0,0,0,0,0,0,0,0,0,2
K17871,0,0,0,0,0,0,0,0,2,0
K17945,0,0,0,1,0,0,0,0,0,1
K17947,0,0,0,0,0,0,0,2,0,0
K17973,0,0,0,0,0,2,0,0,0,0
K17995,0,0,0,1,0,0,0,0,1,0
K18012,0,0,0,1,0,0,0,1,0,0
K18023,0,0,0,0,0,1,0,0,1,0
K18043,2,0,0,0,0,0,0,0,0,0
K18045,2,0,0,0,0,0,0,0,0,0
K18050,0,0,0,0,0,0,2,0,0,0
K18072,0,0,1,0,0,0,0,0,0,1
K18084,0,0,0,0,0,0,2,0,0,0
K18093,0,0,2,0,0,0,0,0,0,0
K18105,0,0,0,1,1,0,0,0,0,0
K18119,0,0,0,1,0,0,0,0,1,0
K18164,0,0,0,0,0,2,0,0,0,0
K18209,0,0,0,0,0,0,2,0,0,0
K18233,0,0,1,1,0,0,0,0,0,0
K18234,0,0,0,0,0,0,2,0,0,0
K18242,2,0,0,0,0,0,0,0,0,0
K18251,0,0,0,0,2,0,0,0,0,0
K18264,0,0,0,0,0,0,2,0,0,0
K18282,0,0,0,0,0,0,2,0,0,0
K18286,0,1,0,0,1,0,0,0,0,0
K18287,0,0,0,0,0,0,2,0,0,0
K18298,0,0,0,1,0,0,0,0,0,1
K18299,0,0,1,1,0,0,0,0,0,0
K18337,0,0,0,0,0,0,0,0,1,1
K18427,0,0,0,0,0,0,0,1,0,1
K18455,2,0,0,0,0,0,0,0,0,0
K18466,0,1,0,0,0,0,0,0,1,0
K18468,0,0,0,0,0,2,0,0,0,0
K18491,0,0,0,0,0,2,0,0,0,0
K18499,0,0,0,0,0,0,2,0,0,0
K18501,0,0,0,0,1,1,0,0,0,0
K18550,0,0,0,0,0,0,2,0,0,0
K18555,0,0,0,0,0,0,2,0,0,0
K18572,0,0,0,0,0,0,2,0,0,0
K18587,0,0,0,0,1,0,0,0,1,0
K18588,0,0,0,0,1,0,0,0,1,0
K18589,0,0,1,1,0,0,0,0,0,0
K18590,0,0,1,1,0,0,0,0,0,0
K18592,0,0,0,2,0,0,0,0,0,0
K18601,0,0,0,0,2,0,0,0,0,0
K18610,2,0,0,0,0,0,0,0,0,0
K18625,0,0,0,1,0,1,0,0,0,0
K18626,0,0,0,0,0,1,0,1,0,0
K18652,0,0,0,0,0,0,0,1,0,1
K18666,0,0,0,0,0,0,2,0,0,0
K18674,0,0,0,0,0,0,2,0,0,0
K18698,0,0,0,0,0,0,2,0,0,0
K18699,0,0,0,0,0,0,2,0,0,0
K18710,0,0,0,0,0,2,0,0,0,0
K18721,2,0,0,0,0,0,0,0,0,0
K18726,0,0,0,0,0,0,2,0,0,0
K18766,0,0,0,0,0,0,2,0,0,0
K18778,0,0,1,1,0,0,0,0,0,0
K18780,0,0,2,0,0,0,0,0,0,0
K18829,0,0,0,1,0,0,0,0,0,1
K18844,0,0,0,0,0,0,2,0,0,0
K18891,0,0,2,0,0,0,0,0,0,0
K18893,0,0,1,0,0,0,0,1,0,0
K18902,0,0,1,0,0,1,0,0,0,0
K18906,2,0,0,0,0,0,0,0,0,0
K18915,0,0,0,0,1,0,0,1,0,0
K18917,0,0,0,1,0,1,0,0,0,0
K18966,0,0,0,0,0,0,2,0,0,0
K18974,0,0,2,0,0,0,0,0,0,0
K18993,0,0,2,0,0,0,0,0,0,0
K18995,0,0,1,0,0,1,0,0,0,0
K19011,0,0,0,0,0,0,2,0,0,0
K19052,0,0,0,0,1,0,0,0,0,1
K19121,0,0,0,0,0,1,0,1,0,0
K19123,0,0,0,0,0,0,0,1,0,1
K19131,0,0,0,1,0,0,0,1,0,0
K19142,0,0,0,0,0,0,0,1,0,1
K19176,0,0,0,0,0,0,2,0,0,0
K19217,0,0,0,0,0,0,2,0,0,0
K19219,0,0,0,0,0,1,0,0,0,1
K19232,0,0,1,0,0,0,0,0,1,0
K19272,0,0,1,0,0,0,0,0,0,1
K19299,0,0,1,0,0,0,0,0,0,1
K19300,0,0,1,0,0,0,0,0,0,1
K19329,0,0,0,0,0,1,0,0,1,0
K19340,0,0,2,0,0,0,0,0,0,0
K19349,0,0,1,0,0,1,0,0,0,0
K19353,0,0,2,0,0,0,0,0,0,0
K19371,0,0,0,0,1,1,0,0,0,0
K19423,0,0,1,0,0,0,0,1,0,0
K19465,0,0,0,0,0,0,0,1,0,1
K19478,0,0,0,1,0,0,0,1,0,0
K19501,0,0,1,0,1,0,0,0,0,0
K19506,0,0,0,0,0,0,2,0,0,0
K19511,0,0,0,0,0,1,0,1,0,0
K19517,0,0,0,0,0,0,2,0,0,0
K19519,0,0,0,1,1,0,0,0,0,0
K19610,2,0,0,0,0,0,0,0,0,0
K19633,0,0,0,2,0,0,0,0,0,0
K19674,0,0,0,0,0,2,0,0,0,0
K19693,2,0,0,0,0,0,0,0,0,0
K19699,0,0,0,0,0,0,2,0,0,0
K19700,2,0,0,0,0,0,0,0,0,0
K19701,0,0,0,1,0,0,0,1,0,0
K19719,0,0,0,1,0,0,0,0,1,0
K19736,0,0,1,0,1,0,0,0,0,0
K19746,0,0,1,0,1,0,0,0,0,0
K19776,0,0,0,0,0,0,2,0,0,0
K19783,0,0,0,0,0,2,0,0,0,0
K19789,0,0,0,0,0,0,2,0,0,0
K19802,2,0,0,0,0,0,0,0,0,0
K19813,0,0,1,1,0,0,0,0,0,0
K19827,0,0,0,0,0,1,0,1,0,0
K19846,0,0,0,0,0,0,0,2,0,0
K19945,0,0,1,0,0,1,0,0,0,0
K19997,0,0,0,0,0,0,2,0,0,0
K20001,0,0,0,0,0,0,2,0,0,0
K20028,0,0,1,0,0,0,0,1,0,0
K20053,0,0,0,0,0,2,0,0,0,0
K20071,0,0,0,0,0,0,2,0,0,0
K20112,0,0,2,0,0,0,0,0,0,0
K00009,0,0,1,0,0,0,0,0,0,0
K00032,0,0,0,0,0,0,0,1,0,0
K00051,0,0,0,0,1,0,0,0,0,0
K00068,0,0,0,0,0,0,0,0,0,1
K00069,0,0,0,0,0,0,0,0,1,0
K00082,0,0,0,0,1,0,0,0,0,0
K00103,0,0,0,1,0,0,0,0,0,0
K00137,0,1,0,0,0,0,0,0,0,0
K00217,0,0,0,0,0,0,0,1,0,0
K00251,0,0,0,1,0,0,0,0,0,0
K00304,0,0,0,0,1,0,0,0,0,0
K00306,0,0,0,1,0,0,0,0,0,0
K00363,0,1,0,0,0,0,0,0,0,0
K00371,0,0,0,0,0,1,0,0,0,0
K00414,0,0,0,0,1,0,0,0,0,0
K00422,0,0,0,1,0,0,0,0,0,0
K00427,0,0,1,0,0,0,0,0,0,0
K00455,0,0,0,0,1,0,0,0,0,0
K00476,0,0,0,1,0,0,0,0,0,0
K00556,0,0,0,0,0,0,0,1,0,0
K00563,0,0,1,0,0,0,0,0,0,0
K00570,0,0,0,0,1,0,0,0,0,0
K00613,0,0,0,0,0,0,0,1,0,0
K00637,0,0,0,1,0,0,0,0,0,0
K00646,0,0,0,0,0,0,0,1,0,0
K00659,0,0,0,0,0,1,0,0,0,0
K00685,0,0,1,0,0,0,0,0,0,0
K00689,0,0,1,0,0,0,0,0,0,0
K00734,0,0,0,1,0,0,0,0,0,0
K00735,0,0,0,0,0,0,0,0,0,1
K00737,0,0,0,0,0,1,0,0,0,0
K00738,0,0,0,0,0,1,0,0,0,0
K00743,0,0,0,0,1,0,0,0,0,0
K00753,0,0,0,0,0,1,0,0,0,0
K00757,0,0,1,0,0,0,0,0,0,0
K00783,0,0,0,0,0,1,0,0,0,0
K00804,0,0,0,1,0,0,0,0,0,0
K00816,0,0,0,0,1,0,0,0,0,0
K00827,0,0,0,1,0,0,0,0,0,0
K00841,0,0,0,1,0,0,0,0,0,0
K00862,0,0,1,0,0,0,0,0,0,0
K00888,0,0,0,0,0,1,0,0,0,0
K00893,0,0,1,0,0,0,0,0,0,0
K00911,0,0,0,0,1,0,0,0,0,0
K00913,0,1,0,0,0,0,0,0,0,0
K00915,0,0,0,0,0,1,0,0,0,0
K00917,0,0,0,1,0,0,0,0,0,0
K00923,0,0,0,0,0,1,0,0,0,0
K00980,0,0,0,0,0,0,0,1,0,0
K01002,0,0,1,0,0,0,0,0,0,0
K01014,0,0,0,0,1,0,0,0,0,0
K01021,0,0,0,0,0,1,0,0,0,0
K01024,0,0,0,0,0,0,0,1,0,0
K01040,0,0,0,0,0,0,0,0,1,0
K01054,0,0,0,0,1,0,0,0,0,0
K01068,0,0,0,0,0,1,0,0,0,0
K01074,0,0,0,0,0,1,0,0,0,0
K01080,0,0,0,0,0,0,0,1,0,0
K01096,0,0,1,0,0,0,0,0,0,0
K01102,0,0,0,0,0,0,0,1,0,0
K01106,0,0,1,0,0,0,0,0,0,0
K01108,0,0,0,0,1,0,0,0,0,0
K01112,0,0,0,1,0,0,0,0,0,0
K01150,0,0,0,0,0,0,0,0,0,1
K01152,0,0,0,0,0,0,0,1,0,0
K01180,0,0,0,0,0,1,0,0,0,0
K01184,0,0,0,0,0,0,0,1,0,0
K01196,0,0,0,1,0,0,0,0,0,0
K01213,0,0,0,0,0,0,0,1,0,0
K01214,0,0,0,0,0,1,0,0,0,0
K01220,0,0,1,0,0,0,0,0,0,0
K01222,0,0,1,0,0,0,0,0,0,0
K01235,0,0,0,0,0,0,0,0,0,1
K01247,0,0,0,0,0,0,0,0,1,0
K01253,0,1,0,0,0,0,0,0,0,0
K01268,0,0,0,0,0,1,0,0,0,0
K01276,0,0,0,0,0,1,0,0,0,0
K01291,0,0,0,0,0,0,0,1,0,0
K01300,0,0,0,0,0,0,0,1,0,0
K01301,0,0,0,0,0,0,0,1,0,0
K01325,0,0,0,1,0,0,0,0,0,0
K01345,0,0,0,0,0,1,0,0,0,0
K01346,0,0,0,0,0,1,0,0,0,0
K01364,0,0,0,0,0,0,0,0,0,1
K01367,0,0,0,0,0,1,0,0,0,0
K01369,0,0,0,0,0,1,0,0,0,0
K01377,0,0,0,0,0,0,0,1,0,0
K01390,0,0,0,0,0,0,0,1,0,0
K01429,0,0,0,0,1,0,0,0,0,0
K01432,0,0,0,1,0,0,0,0,0,0
K01482,0,0,0,0,1,0,0,0,0,0
K01484,0,0,0,0,0,0,0,1,0,0
K01492,0,0,0,0,0,0,0,0,1,0
K01509,0,0,1,0,0,0,0,0,0,0
K01511,0,0,0,0,0,0,0,1,0,0
K01518,0,0,0,0,0,1,0,0,0,0
K01519,0,0,0,0,1,0,0,0,0,0
K01568,0,0,0,0,0,1,0,0,0,0
K01573,0,0,0,0,0,0,0,0,0,1
K01574,0,0,0,0,0,0,0,1,0,0
K01608,0,0,0,0,0,0,0,1,0,0
K01612,0,0,0,0,0,0,0,1,0,0
K01643,0,0,0,0,0,1,0,0,0,0
K01672,0,0,0,0,0,1,0,0,0,0
K01694,0,0,0,0,0,1,0,0,0,0
K01716,0,0,0,1,0,0,0,0,0,0
K01764,0,0,0,0,0,0,0,0,0,1
K01766,0,0,1,0,0,0,0,0,0,0
K01792,0,0,0,1,0,0,0,0,0,0
K01793,0,0,0,0,0,1,0,0,0,0
K01795,0,0,1,0,0,0,0,0,0,0
K01800,0,0,0,1,0,0,0,0,0,0
