,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K15987: hppA; K(+)-stimulated pyrophosphate-energized sodium pump,4,2,1,10,4,7,22,19,15,23
K02652: pilB; type IV pilus assembly protein PilB,22,4,4,15,11,10,12,14,6,7
K03782: katG; catalase-peroxidase [EC:1.11.1.21],30,2,4,11,4,8,20,14,5,7
K02438: glgX; glycogen debranching enzyme [EC:3.2.1.196],16,0,0,2,11,19,12,18,13,13
"K02952: RP-S13, rpsM; small subunit ribosomal protein S13",14,2,1,6,14,11,18,24,8,6
K03969: pspA; phage shock protein A,16,2,0,13,3,23,6,22,10,9
"K09458: fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]",24,2,4,8,14,9,14,13,10,6
K03832: tonB; periplasmic protein TonB,18,6,1,4,9,19,12,12,14,8
K02036: pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1],20,4,0,12,13,12,6,16,12,7
"K00284: GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]",30,4,6,10,12,9,6,6,9,9
"K00632: fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",16,1,5,5,6,13,16,19,6,14
K00789: metK; S-adenosylmethionine synthetase [EC:2.5.1.6],8,2,2,11,12,17,14,16,9,10
K02243: comGA; competence protein ComGA,20,4,4,14,11,8,12,15,6,7
K03168: topA; DNA topoisomerase I [EC:5.6.2.1],26,1,1,10,14,7,10,25,5,2
K03231: EEF1A; elongation factor 1-alpha,8,0,0,8,10,24,14,21,10,6
K00226: pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],2,1,2,9,19,19,6,24,9,9
K02044: phnD; phosphonate transport system substrate-binding protein,10,1,0,10,14,14,16,10,10,15
"K02906: RP-L3, MRPL3, rplC; large subunit ribosomal protein L3",6,0,2,5,11,24,10,26,11,5
"K01596: E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]",0,2,4,11,13,15,20,16,6,12
"K01966: PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]",8,1,3,4,10,7,30,12,12,12
K02056: ABC.SS.A; simple sugar transport system ATP-binding protein [EC:7.5.2.-],6,2,7,2,9,17,20,13,10,13
"K02886: RP-L2, MRPL2, rplB; large subunit ribosomal protein L2",12,0,3,5,14,10,12,30,9,4
K04088: hflK; modulator of FtsH protease HflK,12,2,3,7,3,29,16,19,4,4
"K02275: coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]",14,6,5,18,6,16,10,7,8,8
K03561: exbB; biopolymer transport protein ExbB,12,3,5,19,14,17,4,6,11,7
"K00927: PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",14,2,0,5,12,20,10,16,12,6
"K02108: ATPF0A, atpB; F-type H+-transporting ATPase subunit a",16,4,3,11,11,10,14,10,11,7
"K03106: SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]",16,1,3,3,3,22,14,25,4,6
K01995: livG; branched-chain amino acid transport system ATP-binding protein,4,1,10,1,5,20,16,16,9,14
"K04035: E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]",10,5,1,13,11,13,14,11,12,6
"K15584: nikA, cntA; nickel transport system substrate-binding protein",6,2,0,2,4,15,22,13,13,19
"K03403: chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]",10,2,3,11,11,8,22,6,16,6
K00265: gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],28,4,5,6,11,9,6,7,9,9
K01113: phoD; alkaline phosphatase D [EC:3.1.3.1],22,3,2,8,6,11,14,7,7,14
"K02988: RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5",10,2,1,7,9,17,8,24,8,8
"K06148: ABCC-BAC; ATP-binding cassette, subfamily C, bacterial",16,1,25,7,14,10,8,9,3,1
K09181: yfiQ; acetyltransferase,6,1,1,10,4,11,18,23,11,9
